leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.534267,0.603112,0.671619,0.602807,0.594211,0.641288,0.604322,0.563525
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.717561,0.600552,0.86536,0.603569,0.782629,0.640749,0.795558,0.563104
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.910931,0.603769,1.06455,0.609906,0.984522,0.643609,0.991989,0.568158
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.11589,0.609615,1.26971,0.618483,1.18715,0.650338,1.1934,0.575992
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.0194514,0.715064,0.137078,0.70895,0.0740555,0.745364,0.0792507,0.677946
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.176345,0.707694,0.299666,0.704872,0.229007,0.74198,0.241758,0.669677
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.341159,0.704217,0.46985,0.703433,0.396212,0.739961,0.408279,0.666648
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.513551,0.70059,0.652663,0.701112,0.572473,0.738693,0.589237,0.665274
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.698049,0.701841,0.846565,0.700689,0.763971,0.739115,0.779874,0.664555
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.895198,0.70313,1.05163,0.706207,0.964176,0.740097,0.977706,0.665158
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.10608,0.705465,1.26295,0.711117,1.179,0.743921,1.18645,0.673423
