leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.0738616,0.0660653,0.0755967,0.0665209,0.0745448,0.0665861,0.0750137,0.066075
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.227087,0.0661093,0.228382,0.0661364,0.227704,0.0666903,0.227356,0.0655351
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.390991,0.0666657,0.392556,0.0666374,0.391989,0.0671782,0.391682,0.0661168
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.568718,0.0659597,0.569929,0.0660687,0.569974,0.0664331,0.569502,0.0658164
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.758806,0.066422,0.760269,0.0664152,0.759577,0.0669396,0.759269,0.0659046
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.961991,0.0662792,0.96339,0.0664307,0.963208,0.0669918,0.962773,0.0657379
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.17678,0.0664908,1.17842,0.0665571,1.17742,0.0670647,1.17729,0.0659705
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.0797301,0.199959,0.0805898,0.19983,0.0802412,0.200465,0.0800512,0.199568
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.242438,0.199118,0.243965,0.199804,0.243368,0.199868,0.243014,0.19929
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.411607,0.199901,0.413175,0.199672,0.41263,0.20047,0.41189,0.198926
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.590267,0.199659,0.591498,0.199675,0.590558,0.199393,0.590703,0.199546
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.779738,0.198437,0.781038,0.198592,0.780833,0.199237,0.780172,0.197901
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.980128,0.200307,0.981652,0.200088,0.981151,0.200831,0.98125,0.199697
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
1.18897,0.200459,1.18985,0.201081,1.18947,0.201712,1.18937,0.20034
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
