leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.105077,0.333662,0.770116,0.335933,0.430853,0.583979,0.396087,0.0847887
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.27719,0.334219,0.967513,0.33534,0.61088,0.582825,0.574855,0.08509
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.449119,0.334854,1.16956,0.335252,0.80057,0.584163,0.762884,0.084908
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.62905,0.333596,1.37287,0.334596,0.994971,0.585246,0.964217,0.0845806
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.105122,0.466669,0.775921,0.467344,0.423688,0.718925,0.416509,0.218575
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.277811,0.468624,0.971688,0.465657,0.600897,0.717314,0.597361,0.219182
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.455304,0.467238,1.17002,0.467666,0.792459,0.716028,0.784418,0.216923
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.63657,0.467518,1.37362,0.467903,0.985593,0.717228,0.983404,0.218766
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.10502,0.600407,0.774927,0.598718,0.407566,0.849257,0.425449,0.350114
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.275096,0.60001,0.970148,0.601492,0.582575,0.85096,0.609527,0.352731
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.45326,0.600304,1.16822,0.600475,0.774281,0.850022,0.796216,0.353376
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.632746,0.600821,1.37391,0.600738,0.974123,0.850383,0.993825,0.351734
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.103799,0.733805,0.762085,0.734555,0.381097,0.983136,0.434022,0.48358
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.26896,0.735353,0.959978,0.732962,0.557779,0.983001,0.614093,0.484568
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.443709,0.734032,1.16305,0.735595,0.747057,0.98314,0.800283,0.48513
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.619959,0.733087,1.37348,0.733903,0.951381,0.983289,0.996095,0.482693
