leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.10277,0.332958,0.771787,0.332929,0.431868,0.583725,0.393881,0.0836414
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.273646,0.334031,0.965485,0.33336,0.611032,0.583127,0.571619,0.0835235
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.44654,0.333122,1.16538,0.332753,0.798144,0.583453,0.760065,0.0822291
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.626685,0.332329,1.37452,0.333873,0.996547,0.582175,0.964224,0.0831135
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.10513,0.465979,0.777172,0.466165,0.422593,0.715737,0.415913,0.215889
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.276113,0.467296,0.969898,0.463821,0.604288,0.716438,0.595748,0.214639
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.454141,0.468031,1.16738,0.465343,0.792912,0.717517,0.784517,0.216202
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.632962,0.464691,1.37476,0.467136,0.987261,0.717818,0.981296,0.215651
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.105112,0.598936,0.77248,0.601094,0.407374,0.848839,0.426652,0.351186
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.278288,0.597968,0.967752,0.600151,0.584774,0.850358,0.602994,0.349774
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.450588,0.601539,1.16739,0.599518,0.775568,0.849779,0.794417,0.35023
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.631064,0.599819,1.3752,0.600421,0.975494,0.851053,0.990574,0.348754
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.102269,0.732649,0.763548,0.735458,0.381549,0.983858,0.432718,0.483512
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.269696,0.733065,0.958448,0.733361,0.558433,0.983836,0.611142,0.482948
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.443101,0.733626,1.1624,0.733388,0.748747,0.984094,0.79934,0.48472
leftX, leftY, rightX, rightY, topX, topY, bottomX, bottomY
0.623826,0.732129,1.37465,0.734069,0.951933,0.98411,0.995864,0.481222
