81.793,6.65105
299.333,6.6733
625.66,6.72006
1080.02,6.66366
1657.92,6.71897
2362.56,6.6287
3182.77,6.74583
142.949,20.0166
457.96,20.0769
845.867,20.1679
1315.67,20.1509
1892.89,20.1277
2553.62,20.1922
3308.39,20.0775
174.38,33.2516
541.125,33.3606
951.538,33.3347
1446.13,33.4941
2011.42,33.3496
2652.33,33.3678
3364.63,33.3309
187.612,46.6923
573.217,46.7899
1007.78,46.682
1502.67,46.6498
2065.65,46.8343
2699.16,46.9833
3389.74,46.803
183.786,59.9829
564.32,60.0729
992.746,59.9502
1482.15,59.9625
2050.41,60.0155
2687.41,60.3496
3380.62,60.1845
164.658,73.2902
504.691,73.514
909.619,73.3284
1381.93,73.6623
1961.36,73.4639
2616.21,73.519
3341.2,73.5289
118.11,86.7312
395.12,86.7759
749.759,86.7528
1211.33,86.6092
1788.51,86.7711
2471.78,86.8084
3254.54,86.7436
